City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Severo-Yeniseyskiy,RU,2021-04-02 17:39:03,60.3725,93.0408,24.21,94,100,10.56
178,Chicama,PE,2021-04-02 17:39:03,-7.8447,-79.1469,69.8,83,40,10.36
179,Barillas,GT,2021-04-02 17:39:03,15.8036,-91.3158,69.8,52,75,2.62
180,Mocuba,MZ,2021-04-02 17:39:04,-16.8392,36.9856,70.03,88,32,3.38
181,Cedar City,US,2021-04-02 17:39:04,37.6775,-113.0619,69.01,19,1,3.44
182,Piacabucu,BR,2021-04-02 17:39:05,-10.4056,-36.4344,85.35,56,25,13.18
183,Lufilufi,WS,2021-04-02 17:39:05,-13.8745,-171.5986,75.2,94,40,14.05
184,Broome,US,2021-04-02 17:39:05,42.2506,-75.833,33.01,46,40,14.97
185,Keetmanshoop,NA,2021-04-02 17:39:06,-26.5833,18.1333,86.0,26,20,4.61
186,Berlevag,NO,2021-04-02 17:39:06,70.8578,29.0864,28.92,79,81,3.22
187,Orocue,CO,2021-04-02 17:39:07,4.7912,-71.3354,82.94,62,100,2.71
188,Porto Walter,BR,2021-04-02 17:39:07,-8.2686,-72.7439,88.23,58,52,5.1
189,Ust-Tsilma,RU,2021-04-02 17:39:07,65.441,52.1498,21.42,96,87,3.53
190,Bikin,RU,2021-04-02 17:39:08,46.8161,134.26,42.62,72,100,13.67
191,Touros,BR,2021-04-02 17:39:08,-5.1989,-35.4608,87.8,58,40,12.66
192,Iwanai,JP,2021-04-02 17:39:08,42.9744,140.5089,39.25,70,100,8.79
193,Togur,RU,2021-04-02 17:39:08,58.3631,82.8265,30.6,92,100,11.97
194,Salalah,OM,2021-04-02 17:39:09,17.0151,54.0924,82.4,83,0,4.61
195,Kargasok,RU,2021-04-02 17:39:09,59.0556,80.8572,32.14,97,100,12.55
196,Orange Cove,US,2021-04-02 17:39:10,36.6244,-119.3137,73.0,33,0,4.0
197,Machilipatnam,IN,2021-04-02 17:39:10,16.1667,81.1333,86.0,89,67,5.61
198,Bethel,US,2021-04-02 17:39:11,41.3712,-73.414,32.0,37,90,8.05
199,Bubaque,GW,2021-04-02 17:39:11,11.2833,-15.8333,75.92,74,3,12.59
200,Sao Filipe,CV,2021-04-02 17:39:11,14.8961,-24.4956,75.51,65,3,9.66
201,Motala,SE,2021-04-02 17:39:12,58.5371,15.0365,44.6,39,90,9.22
202,Bandar-E Lengeh,IR,2021-04-02 17:39:12,26.5579,54.8807,78.8,61,0,9.22
203,Vestmannaeyjar,IS,2021-04-02 17:39:12,63.4427,-20.2734,41.0,81,75,13.8
204,Salinopolis,BR,2021-04-02 17:39:13,-0.6136,-47.3561,81.79,74,47,2.89
205,Bonthe,SL,2021-04-02 17:39:13,7.5264,-12.505,82.96,73,62,12.46
206,Anadyr,RU,2021-04-02 17:39:13,64.75,177.4833,6.8,85,75,22.37
207,Anshun,CN,2021-04-02 17:39:14,26.25,105.9333,53.62,82,77,9.26
208,Osoyoos,CA,2021-04-02 17:39:14,49.0331,-119.4524,46.4,46,73,3.44
209,Srednekolymsk,RU,2021-04-02 17:39:14,67.45,153.6833,-27.33,100,55,3.0
210,Oranjestad,AW,2021-04-02 17:39:15,12.524,-70.027,86.0,62,40,23.02
211,Acapulco,MX,2021-04-02 17:39:15,16.8634,-99.8901,87.8,58,1,3.44
212,Kyakhta,RU,2021-04-02 17:39:15,50.3508,106.4494,28.65,48,18,3.53
213,Venado Tuerto,AR,2021-04-02 17:39:16,-33.7456,-61.9688,82.99,20,8,8.99
214,Bodden Town,KY,2021-04-02 17:37:50,19.2833,-81.25,84.2,65,20,11.5
215,Namibe,AO,2021-04-02 17:39:16,-15.1961,12.1522,78.06,78,50,14.27
216,Lebu,CL,2021-04-02 17:39:16,-37.6167,-73.65,59.76,79,34,15.48
217,Sao Joao Da Barra,BR,2021-04-02 17:35:55,-21.6403,-41.0511,87.8,45,20,2.3
218,Cidreira,BR,2021-04-02 17:39:17,-30.1811,-50.2056,71.83,72,85,12.97
219,Provideniya,RU,2021-04-02 17:39:17,64.3833,-173.3,10.4,93,100,16.17
220,Yellowknife,CA,2021-04-02 17:35:01,62.456,-114.3525,8.01,78,90,6.91
221,Vierzon,FR,2021-04-02 17:39:18,47.2101,2.0625,60.8,29,0,11.5
222,Makakilo City,US,2021-04-02 17:39:18,21.3469,-158.0858,71.6,77,1,3.44
223,Fare,PF,2021-04-02 17:39:19,-16.7,-151.0167,81.45,71,0,2.89
224,Kodiak,US,2021-04-02 17:39:19,57.79,-152.4072,32.0,34,1,4.61
225,Santa Rosa,PH,2021-04-02 17:39:19,14.3122,121.1114,80.6,69,20,8.05
226,Kangaatsiaq,GL,2021-04-02 17:39:20,68.3065,-53.4641,9.55,70,99,16.69
227,Clarence Town,AU,2021-04-02 17:39:20,-32.5833,151.7833,59.0,100,3,1.77
228,Yerofey Pavlovich,RU,2021-04-02 17:39:20,53.9667,121.9667,14.25,51,2,8.28
229,Tres Arroyos,AR,2021-04-02 17:39:21,-38.3739,-60.2798,74.46,37,34,10.45
230,Khatanga,RU,2021-04-02 17:39:21,71.9667,102.5,-31.85,98,5,4.94
231,Victoria Point,AU,2021-04-02 17:39:21,-27.5833,153.3,72.0,68,99,8.99
232,Upernavik,GL,2021-04-02 17:39:22,72.7868,-56.1549,-9.54,87,100,14.18
233,Clemencia,CO,2021-04-02 17:39:22,10.5665,-75.325,87.8,66,75,16.11
234,Dikson,RU,2021-04-02 17:39:22,73.5069,80.5464,-7.8,81,100,5.73
235,Nelson Bay,AU,2021-04-02 17:39:23,-32.7167,152.15,59.0,100,9,2.86
236,Rendsburg,DE,2021-04-02 17:39:23,54.3,9.6667,46.0,76,99,16.11
237,Rockport,US,2021-04-02 17:39:23,28.0206,-97.0544,71.6,46,20,16.11
238,Businga,CD,2021-04-02 17:39:24,3.3333,20.8833,72.09,93,83,1.68
239,Camacha,PT,2021-04-02 17:39:24,33.0833,-16.3333,64.4,63,75,10.36
240,Genhe,CN,2021-04-02 17:39:24,50.7833,121.5167,18.14,65,15,13.33
241,La Ronge,CA,2021-04-02 17:39:25,55.1001,-105.2842,39.2,48,40,18.41
242,Aklavik,CA,2021-04-02 17:39:25,68.2191,-135.0107,-16.6,76,100,2.3
243,Nikolskoye,RU,2021-04-02 17:39:25,59.7035,30.7861,37.0,86,40,6.71
244,Jaciara,BR,2021-04-02 17:39:26,-15.9653,-54.9683,92.21,41,68,1.9
245,Kudahuvadhoo,MV,2021-04-02 17:39:26,2.6708,72.8944,82.96,77,18,14.92
246,Kushiro,JP,2021-04-02 17:38:25,42.975,144.3747,36.88,88,100,7.07
247,Dalvik,IS,2021-04-02 17:39:27,65.9702,-18.5286,50.0,40,0,21.85
248,Aldan,RU,2021-04-02 17:39:27,58.6031,125.3894,-7.47,99,73,3.04
249,Chongwe,ZM,2021-04-02 17:39:28,-15.3292,28.682,62.8,84,11,3.83
250,Saint George,US,2021-04-02 17:37:32,37.1041,-113.5841,71.01,22,1,2.21
251,Nanchang,CN,2021-04-02 17:39:28,28.6833,115.8833,60.31,90,100,6.22
252,Paamiut,GL,2021-04-02 17:39:28,61.994,-49.6678,28.04,96,100,8.84
253,Bakel,SN,2021-04-02 17:39:28,14.905,-12.4568,107.19,4,8,6.53
254,Port Blair,IN,2021-04-02 17:39:29,11.6667,92.75,77.5,69,95,5.21
255,Terra Santa,BR,2021-04-02 17:39:29,-2.1042,-56.4869,83.3,79,95,4.54
256,Yumen,CN,2021-04-02 17:39:29,40.2833,97.2,43.18,20,100,19.82
257,Kasongo-Lunda,CD,2021-04-02 17:39:30,-6.4667,16.8167,74.7,89,96,0.34
258,Hobyo,SO,2021-04-02 17:39:30,5.3505,48.5268,82.85,72,36,12.64
259,Paita,PE,2021-04-02 17:39:30,-5.0892,-81.1144,87.8,48,0,14.97
260,Stephenville,US,2021-04-02 17:39:31,32.2207,-98.2023,64.4,25,1,12.66
261,Caracollo,PE,2021-04-02 17:39:31,-14.9165,-70.6603,55.24,49,100,2.98
262,Esperance,AU,2021-04-02 17:39:31,-33.8667,121.9,66.2,94,90,6.91
263,Ampanihy,MG,2021-04-02 17:39:32,-24.7,44.75,73.08,71,1,10.07
264,Pizarro,CO,2021-04-02 17:39:32,4.9533,-77.366,82.26,75,69,6.58
265,Carrickfergus,GB,2021-04-02 17:39:32,54.7158,-5.8058,48.99,71,75,11.5
266,Muhos,FI,2021-04-02 17:39:32,64.808,25.9931,36.0,80,0,6.91
267,Hami,CN,2021-04-02 17:39:33,42.8,93.45,50.54,16,3,11.34
268,Belmonte,BR,2021-04-02 17:39:33,-15.8631,-38.8828,87.8,70,20,12.66
269,Mumbwa,ZM,2021-04-02 17:39:33,-14.9783,27.0619,67.91,72,32,4.25
270,Yulara,AU,2021-04-02 17:39:34,-25.2406,130.9889,66.2,45,0,8.05
271,Lata,PT,2021-04-02 17:39:34,40.1629,-8.3327,66.0,83,90,1.01
272,Ossora,RU,2021-04-02 17:39:34,59.2353,163.0719,5.58,85,95,6.2
273,Suntar,RU,2021-04-02 17:39:35,62.1444,117.6319,-15.2,98,62,2.8
274,Bandarbeyla,SO,2021-04-02 17:39:35,9.4942,50.8122,79.38,70,2,5.03
275,Haines Junction,CA,2021-04-02 17:39:35,60.7522,-137.5108,17.6,57,98,3.44
276,Bathsheba,BB,2021-04-02 17:39:35,13.2167,-59.5167,84.2,48,20,18.41
277,Dekar,BW,2021-04-02 17:39:36,-21.5333,21.9333,75.13,32,65,6.51
278,Muros,ES,2021-04-02 17:39:36,42.7762,-9.0603,61.0,86,97,8.81
279,Cajamarca,PE,2021-04-02 17:39:36,-7.1638,-78.5003,69.8,56,40,3.44
280,Nouadhibou,MR,2021-04-02 17:39:37,20.931,-17.0347,75.2,60,77,17.27
281,Portland,US,2021-04-02 17:37:49,45.5234,-122.6762,52.0,71,1,4.61
282,Marsh Harbour,BS,2021-04-02 17:39:37,26.5412,-77.0636,68.29,65,100,25.61
283,Kiunga,PG,2021-04-02 17:39:38,-6.1219,141.2906,72.95,98,100,2.3
284,Clyde River,CA,2021-04-02 17:39:38,70.4692,-68.5914,-9.4,77,1,17.27
285,Ribeira Grande,PT,2021-04-02 17:39:38,38.5167,-28.7,60.8,88,75,18.41
286,Vardo,NO,2021-04-02 17:39:39,70.3705,31.1107,32.07,72,97,3.76
287,Kousseri,CM,2021-04-02 17:39:39,12.0769,15.0306,91.4,7,26,12.66
288,Tremedal,BR,2021-04-02 17:39:39,-14.9758,-41.4108,91.33,34,57,5.03
289,Yomou,GN,2021-04-02 17:39:40,7.5603,-9.2653,88.92,38,19,4.14
290,Yaan,NG,2021-04-02 17:39:40,7.3833,8.5667,93.16,11,35,3.76
291,Peleduy,RU,2021-04-02 17:39:41,59.6289,112.7406,4.64,98,98,1.72
292,Republic,US,2021-04-02 17:35:39,37.12,-93.4802,55.0,35,1,13.8
293,Newnan,US,2021-04-02 17:39:41,33.3807,-84.7997,53.01,22,1,6.91
