City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Sal Rei,CV,77.0,few clouds,16.1833,-22.9167,Marine Club Beach Resort
81,Puerto Ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Savannah Bight,HN,81.0,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
83,Tooele,US,64.4,clear sky,40.5308,-112.2983,Holiday Inn Express & Suites Tooele
84,Angoche,MZ,78.46,scattered clouds,-16.2325,39.9086,Guest House HESADA
85,Kruisfontein,ZA,64.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
86,Fortuna,US,48.0,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
88,Carutapera,BR,86.2,broken clouds,-1.195,-46.02,Lidera
89,Severo-Yeniseyskiy,RU,24.51,overcast clouds,60.3725,93.0408,Aktolik
90,Meulaboh,ID,79.05,overcast clouds,4.1363,96.1285,Kost Pria
91,Burnie,AU,53.01,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
92,Petropavlovskoye,RU,37.06,broken clouds,52.0712,84.107,Zarya Hotel
93,Caravelas,BR,83.7,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
94,Port Hawkesbury,CA,44.01,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
95,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
96,Isangel,VU,75.38,few clouds,-19.55,169.2667,Volcano Sea View Tree House
97,Norman Wells,CA,26.6,snow,65.282,-126.8329,Heritage Hotel
99,Lebu,CL,60.82,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
100,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
101,Marawi,PH,79.0,overcast clouds,7.9986,124.2928,Derogongan Residence
102,Skelleftea,SE,39.2,clear sky,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
103,Itaituba,BR,87.8,scattered clouds,-4.2761,-55.9836,Hotel Campos
105,Tarko-Sale,RU,33.15,overcast clouds,64.9225,77.785,Yubileynaya
106,Severo-Kurilsk,RU,26.73,overcast clouds,50.6789,156.125,Kak Doma
109,Sinnamary,GF,79.0,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
110,Lasa,IT,60.8,clear sky,46.6166,10.7002,Pension Feldgärtenhof
111,Atlacomulco,MX,62.6,few clouds,19.7989,-99.8744,Cantalagua Inn
112,Warrnambool,AU,55.35,few clouds,-38.3833,142.4833,Lady Bay Resort
113,Sainte-Marie,RE,77.0,heavy intensity rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
114,Nexo,DK,35.6,broken clouds,55.0607,15.1306,Strandhotel Balka Søbad
115,Cidreira,BR,75.61,clear sky,-30.1811,-50.2056,Hotel Castelo
